ecs,1,""
pm,2,""
mito_mem,3,""
mito_lum,4,""
mito_ribo,5,""
golgi_mem,6,""
golgi_lum,7,""
ves_mem,8,""
ves_lum,9,""
endo_mem,10,""
endo_lum,11,""
lyso_mem,12,""
lyso_lum,13,""
ld_mem,14,""
ld_lum,15,""
er_mem,16,""
er_lum,17,""
eres_mem,18,""
eres_lum,19,""
ne_mem,20,""
ne_lum,21,""
np_out,22,""
np_in,23,""
hchrom,24,""
nhchrom,25,""
echrom,26,""
nechrom,27,""
nucpl,28,""
nucleo,29,""
mt_out,30,""
cent,31,""
cent_dapp,32,""
cent_sdapp,33,""
ribo,34,""
cyto,35,""
mt_in,36,""
nuc,37,"20,21,22,23,24,25,26,27,28,29"
vim,38,""
glyco,39,""
golgi,40,"6,7"
ves,41,"8,9"
endo,42,"10,11"
lyso,43,"12,13"
ld,44,"14,15"
rbc,45,""
eres,46,"18,19"
perox_mem,47,""
perox_lum,48,""
perox,49,"47,48"
mito,50,"3,4,5"
er,51,"16,17,18,19,20,21,22,23"
ne,52,"20,21,22,23"
np,53,"22,23"
chrom,54,"24,25,26,27"
mt,55,"30,36"
isg_mem,56,""
isg_lum,57,""
isg_ins,58,""
isg,59,"56,57,58"
cell,60,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,38,39,47,48,56,57,58,61,62"
actin,61,""
tbar,62,""
bm,63,""
er_mem_all,64,"16,18,20"
ne_mem_all,65,"20,22,23"
cent_all,66,"31,32,33"
chloroplast_mem,67,""
chloroplast_lum,68,""
chloroplast_sg,69,""
chloroplast,70,"67,68,69"
vacuole_mem,71,""
vacuole_lum,72,""
vacuole,73,"71,72"
plasmodesmata,74,""